id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,municipio,data_segnalazione
SS-ROM-14041,Via del Monte di Massa,Municipio Roma IV,giallo,3,strada urbana senza ciclabile,no,2,no,0,IV,2026-06-27
SS-ROM-14042,Via del Moretto,Municipio Roma II,giallo,3,strada urbana senza ciclabile,no,2,no,0,II,2026-06-27
SS-ROM-14043,Via del Moro,Municipio Roma II,blu,2,zona pedonale / living street,no,1,no,0,II,2026-06-27
SS-ROM-14044,Via del Mortaro,Municipio Roma II,giallo,3,strada urbana senza ciclabile,no,2,si,0,II,2026-06-27
SS-ROM-14045,Via del Muro Linari,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VII,2026-06-27
SS-ROM-14046,Via del Nazareno,Municipio Roma II,blu,2,zona pedonale / living street,no,1,no,0,II,2026-06-27
SS-ROM-14047,Via del Nebbiolo,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XIII,2026-06-27
SS-ROM-14048,Via del Nibbio,Municipio Roma VII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,no,0,VII,2026-06-27
SS-ROM-14049,Via del Nuoto,Municipio Roma III,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,III,2026-06-27
SS-ROM-14050,Via del Padiglione,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,si,0,VII,2026-06-27
SS-ROM-14051,Via del Pago Triopio,Municipio Roma IX,blu,2,accesso limitato (ZTL),no,1,no,0,IX,2026-06-27
SS-ROM-14052,Via del Palazzo dei Papazzurri,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VII,2026-06-27
SS-ROM-14053,Via del Paradiso,Municipio Roma II,giallo,3,strada urbana senza ciclabile,no,2,si,0,II,2026-06-27
SS-ROM-14054,Via del Parco,Municipio Roma XI,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XI,2026-06-27
SS-ROM-14055,Via del Parco Oppio,Municipio Roma II,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,II,2026-06-27
SS-ROM-14056,Via del Parco della Vittoria,Municipio Roma I,giallo,3,strada urbana senza ciclabile,no,2,no,0,I,2026-06-27
SS-ROM-14057,Via del Parlamento,Municipio Roma II,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,II,2026-06-27
SS-ROM-14058,Via del Passero Solitario,Municipio Roma VII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,VII,2026-06-27
SS-ROM-14059,Via del Passo del Lupo,Municipio Roma V,giallo,3,strada urbana senza ciclabile,no,2,no,0,V,2026-06-27
SS-ROM-14060,Via del Pastore Aminta,Municipio Roma V,giallo,3,strada urbana senza ciclabile,no,2,no,0,V,2026-06-27
SS-ROM-14061,Via del Pastore Faustolo,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VII,2026-06-27
SS-ROM-14062,Via del Pavone,Municipio Roma I,giallo,3,strada urbana senza ciclabile,no,2,si,0,I,2026-06-27
SS-ROM-14063,Via del Pellicano,Municipio Roma VII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,VII,2026-06-27
SS-ROM-14064,Via del Pentathlon,Municipio Roma III,giallo,3,strada urbana senza ciclabile,no,2,no,0,III,2026-06-27
SS-ROM-14065,Via del Peperino,Municipio Roma V,giallo,3,strada urbana senza ciclabile,no,2,si,0,V,2026-06-27
SS-ROM-14066,Via del Pergolato,Municipio Roma V,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,V,2026-06-27
SS-ROM-14067,Via del Pescaccio,Municipio Roma XII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XII,2026-06-27
SS-ROM-14068,Via del Pettirosso,Municipio Roma VII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,VII,2026-06-27
SS-ROM-14069,Via del Pianeta Giove,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,si,0,VIII,2026-06-27
SS-ROM-14070,Via del Pianeta Mercurio,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VIII,2026-06-27
SS-ROM-14071,Via del Pianeta Saturno,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,si,0,VIII,2026-06-27
SS-ROM-14072,Via del Pianeta Terra,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,VIII,2026-06-27
SS-ROM-14073,Via del Pianeta Urano,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VIII,2026-06-27
SS-ROM-14074,Via del Pianeta Venere,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VIII,2026-06-27
SS-ROM-14075,Via del Picchio,Municipio Roma VII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,VII,2026-06-27
SS-ROM-14076,Via del Pigneto,Municipio Roma V,rosso,4,strada secondaria trafficata (1 corsie),no,1,si,0,V,2026-06-27
SS-ROM-14077,Via del Piè di Marmo,Municipio Roma II,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,II,2026-06-27
SS-ROM-14078,Via del Podere Buccari,Municipio Roma XIV,giallo,3,strada urbana senza ciclabile,no,2,no,0,XIV,2026-06-27
SS-ROM-14079,Via del Podere Cave,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,XIII,2026-06-27
SS-ROM-14080,Via del Podere Cesare Battisti,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XIII,2026-06-27
SS-ROM-14081,Via del Podere Colonnacce,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,XIII,2026-06-27
SS-ROM-14082,Via del Podere Fiume,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XIII,2026-06-27
