id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-NAP-0678,Via Antonio Tagliamonte,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-0679,Via Antonio Tari,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-0680,Via Antonio Tarsia in Curia,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-0681,Via Antonio Toscano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-0682,Via Antonio Villari,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-0683,Via Antonio de Curtis,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-0684,Via Antonio e Luigi Sementini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-0685,Via Aquila,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-0686,Via Aquileia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-0687,Via Aquino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-0688,Via Arcangelo Ghisleri,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-0689,Via Archimede,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-0690,"Via Archimede,49",,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-0691,Via Arco Mirelli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-0692,Via Arena della Sanità,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-0693,Via Arenaccia,,rosso,4,strada secondaria trafficata (3 corsie),no,3,si,0,B2,
SS-NAP-0694,Via Arenella,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-0695,Via Argine,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-0696,Via Armando Diaz,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A2,
SS-NAP-0697,Via Arnaldo Cantani,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-0698,Via Arno,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-0699,Via Arte della Lana,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-0700,Via Artemisia Gentileschi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
