id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-MIL-3909,Via Seguro,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3910,Via Sella Nuova,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3911,Via Selvanesco,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A2,
SS-MIL-3912,Via Sem Benelli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C1,
SS-MIL-3913,Via Sempione,,rosso,4,strada principale trafficata (2 corsie),no,2,no,0,C1,
SS-MIL-3914,Via Sempione - Rotatoria R2,,rosso,4,strada principale trafficata (2 corsie),no,2,no,0,C1,
SS-MIL-3915,Via Semplicità,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3916,Via Senato,,verde,1,ciclabile presente (da OpenStreetMap),si,2,si,0,B2,
SS-MIL-3917,Via Seneca,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3918,Via Senigallia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3919,Via Senofonte,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-MIL-3920,Via Sentiero del Dragone,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-3921,Via Seprio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3922,Via Serafino Biffi,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B2,
SS-MIL-3923,Via Serafino dell'Uomo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3924,Via Sergio Corazzini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3925,Via Sergio Tofano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3926,Via Sergnano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-3927,Via Serio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-3928,Via Serviliano Lattuada,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3929,Via Servio Tullio,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3930,Via Sesia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-3931,Via Sesto Calende,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3932,Via Sesto Gallo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-MIL-3933,Via Sesto San Giovanni,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,C2,
SS-MIL-3934,Via Settimo Milanese,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3935,Via Seveso,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3936,Via Sibari,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-3937,Via Sibilla Aleramo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3938,Via Sicilia,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A1,
SS-MIL-3939,Via Siderno,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3940,Via Sidney Sonnino,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-3941,Via Siena,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-MIL-3942,Via Sighele,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3943,Via Sigieri,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3944,Via Sigismondo Trechi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3945,Via Sile,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3946,Via Silio Italico,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3947,Via Silvio Pellico,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-MIL-3948,Via Silvio Spaventa,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3949,Via Silvio Zambaldi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3950,Via Simone D'Orsenigo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3951,Via Simone Martini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3952,Via Simone Saint Bon,,verde,1,ciclabile presente (da OpenStreetMap),si,2,si,0,B1,
SS-MIL-3953,Via Simone Schiaffino,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3954,Via Simone Stratico,,rosso,4,strada principale trafficata (2 corsie),no,2,si,0,B1,
SS-MIL-3955,Via Siro Capsoni,,blu,2,zona pedonale / living street,no,1,no,0,C2,
SS-MIL-3956,Via Siro Taddei,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3957,Via Sirte,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3958,Via Siusi,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C2,
SS-MIL-3959,Via Siviglia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3960,Via Socrate,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3961,Via Sofia Bisi Albini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3962,Via Sofocle,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-MIL-3963,Via Sofonisba Anguissola,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3964,Via Solari,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
